AIRLINE NAME;CARRIER TYPE;PASSENGERS TO INDIA;PASSENGERS FROM INDIA;FREIGHT TO INDIA;FREIGHT FROM INDIA;DAY
FINN AIR;FOREIGN;4852;4267;1433;3025;25/09/2014
FLY DUBAI;FOREIGN;18919;19517;218;2445;11/01/2012
GULF AIR;FOREIGN;34092;35950;408;6168;30/01/2011
IRAN AIR;FOREIGN;1187;1233;8;362;06/09/2013
IRAQI AIRWAYS;FOREIGN;0;68;0;0;24/09/2014
ISLAND AVIATION SERVICES;FOREIGN;3491;3772;50;771;27/07/2017
JAPAN AIRLINES;FOREIGN;4197;4281;3543;2602;31/12/2011
KALITTA AIR;FOREIGN;0;0;8545;12216;08/01/2015
KAM AIR;FOREIGN;4435;4299;0;2418;18/05/2010
KENYA AIRWAYS;FOREIGN;6844;9219;100;1486;03/08/2010
KLM AIRLINES;FOREIGN;5678;6170;112;1903;06/08/2011
KOREAN AIR;FOREIGN;2093;1634;712;634;31/12/2017
KUWAIT AIRWAYS;FOREIGN;18901;24218;991;12533;18/03/2012
LUFTHANSA;FOREIGN;47205;48647;35293;35750;01/05/2014
MAHAN AIR;FOREIGN;2060;1946;78;475;27/12/2016
MALAYSIA AIRLINES;FOREIGN;31681;32298;3234;4055;22/06/2016
MALINDO AIRWAYS;FOREIGN;19915;21830;130;1306;24/11/2010
MIHIN LANKA;FOREIGN;11041;11468;188;342;27/12/2011
MYANMAR AIRLINES;FOREIGN;1482;1449;0;0;05/07/2017
NEPAL AIRLINES CORPORATION;FOREIGN;4949;5311;0;183;05/09/2015
OMAN AIR;FOREIGN;99250;67926;529;8234;20/10/2017
PAK INTERNATIONAL;FOREIGN;639;1630;2;176;21/04/2012
QATAR AIRWAYS;FOREIGN;74654;88596;38213;74873;26/05/2017
REGENT AIRWAYS;FOREIGN;6361;6514;0;0;03/01/2013
SAFI AIRWAYS;FOREIGN;2999;2808;244;1424;14/09/2016
SAUDIA;FOREIGN;56227;59224;1164;23471;23/10/2013
SCAT AIRLINES;FOREIGN;470;466;0;0;25/06/2015
SHANDONG AIRLINES;FOREIGN;866;1092;0;0;25/08/2014
SILK AIR;FOREIGN;14035;18486;755;1898;04/01/2013
SINGAPORE AIRLINES;FOREIGN;42547;49950;31464;30708;26/09/2010
SRILNKAN AIRWAYS;FOREIGN;48461;52944;5290;12048;20/05/2012
SWISS AIR;FOREIGN;10461;11690;7847;5240;27/09/2013
TAJIK AIR;FOREIGN;251;230;0;46;09/02/2017
THAI AIR ASIA;FOREIGN;5753;5540;386;770;13/02/2015
THAI AIRWAYS;FOREIGN;47181;54275;20996;15726;10/03/2013
THOMAS COOK AIRLINES U.K.;FOREIGN;4787;4861;1;281;07/07/2013
TIGER AIRWAYS;FOREIGN;26657;27082;863;2621;15/08/2017
TRANSAERO AIRLINES;FOREIGN;0;0;0;0;11/12/2014
TURKISH AIRLINES;FOREIGN;17548;17913;18838;24170;13/02/2018
TURKMENISTAN AIRLINES;FOREIGN;4694;3014;0;211;04/02/2017
UNITED AIRLINES;FOREIGN;12688;12725;1772;3503;27/04/2012
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;0;0;0;0;24/09/2012
UNITED PARCEL SERVICES;FOREIGN;0;0;3864;3236;09/11/2013
UZBEKISTAN AIRWAYS;FOREIGN;3660;3589;2511;5525;05/01/2013
VIRGIN ATLANTIC AIRLINES;FOREIGN;7082;6369;2300;4173;19/06/2017
YEMENIA AIRWAYS;FOREIGN;0;0;0;0;13/10/2013
AIR INDIA;DOMESTIC;233663;259082;38276;44542;11/01/2017
AIR INDIA EXPRESS;DOMESTIC;107055;117130;151;4988;09/03/2014
INDIGO;DOMESTIC;74361;78525;268;10449;08/03/2011
JET AIRWAYS;DOMESTIC;291723;309805;40771;61382;04/05/2015
SPICEJET;DOMESTIC;71017;75178;942;4399;25/07/2014
AEROFLOT;FOREIGN;8257;9411;205;2252;14/01/2014
AEROLOGIC;FOREIGN;0;0;37;36;02/06/2015
AIR ARABIA;FOREIGN;76750;78529;1228;12070;04/05/2011
AIR ASIA X;FOREIGN;5136;5550;2018;1846;15/05/2012
AIR ASIA BERHAD;FOREIGN;30868;31059;444;3269;16/04/2014
AIR ASTANA;FOREIGN;2488;3097;1;213;29/04/2011
AIR AUSTRAL;FOREIGN;287;256;0;53;10/11/2017
AIR CANADA;FOREIGN;5508;5690;565;1058;26/04/2010
AIR CHINA;FOREIGN;4057;4854;1178;1908;04/06/2015
AIR FRANCE;FOREIGN;18479;20326;9259;10901;25/06/2010
AIR MANAS;FOREIGN;621;809;0;219;07/07/2015
AIR MAURITIUS;FOREIGN;7239;7427;268;2406;15/01/2018
AIR SEYCHELLES;FOREIGN;2213;1945;0;22;24/03/2017
ALL NIPPON AIRWAYS;FOREIGN;4971;6958;2104;4398;09/03/2015
ARIANA AFGHAN;FOREIGN;1529;2428;441;1042;19/12/2014
ASIANA AIRLINES;FOREIGN;2620;3230;397;826;07/09/2010
AUSTRIAN AIRLINES;FOREIGN;2920;4773;1743;2027;02/06/2015
BANGKOK AIRWAYS;FOREIGN;3948;3888;14;486;10/07/2014
BHUTAN AIRLINES;FOREIGN;2284;2273;0;0;28/12/2016
BIMAN BANGLADESH;FOREIGN;6157;7050;0;0;20/11/2016
BRITISH AIRWAYS;FOREIGN;40425;47884;16190;30000;20/10/2017
BUDHHA AIR;FOREIGN;42;19;0;0;10/01/2015
CATHAY PACIFIC;FOREIGN;31068;34113;70456;58817;01/03/2016
CHINA AIRLINES LTD;FOREIGN;1730;5655;770;1166;20/11/2011
CHINA EASTERN AIRLINES;FOREIGN;7201;7801;1471;1428;28/10/2011
CHINA SOUTHERN ;FOREIGN;8360;9516;1916;572;15/10/2011
DRAGON AIR;FOREIGN;8622;9779;57;230;25/10/2017
DRUK AIR;FOREIGN;3559;4074;34;60;17/12/2016
EGYPT AIR;FOREIGN;1228;1040;161;15;15/06/2014
EL-AL-ISRAEL;FOREIGN;1302;1709;464;588;29/05/2016
EMIRATES AIRLINE;FOREIGN;221418;240516;54120;135634;09/02/2013
ETHIOPIAN AIRLINES;FOREIGN;11040;11271;2214;11850;07/03/2014
ETIHAD AIRLINES;FOREIGN;87318;93914;5976;17151;02/09/2016
EVA AIRWAYS;FOREIGN;0;0;0;0;07/10/2013
FEDERAL EXPRESS;FOREIGN;0;0;11740;21237;23/10/2012
FINN AIR;FOREIGN;4010;5076;1433;3025;21/06/2014
FLY DUBAI;FOREIGN;20012;20686;274;2663;13/08/2016
GULF AIR;FOREIGN;36399;36604;639;7066;24/04/2016
IRAN AIR;FOREIGN;1446;1340;47;294;06/09/2017
IRAQI AIRWAYS;FOREIGN;993;858;0;0;07/10/2017
ISLAND AVIATION SERVICES;FOREIGN;4466;4535;74;683;29/04/2013
JAPAN AIRLINES;FOREIGN;4388;5482;4781;3446;13/02/2012
KALITTA AIR;FOREIGN;0;0;12906;10670;30/09/2012
KAM AIR;FOREIGN;4077;5016;0;2297;01/03/2014
KENYA AIRWAYS;FOREIGN;6530;7408;122;1284;27/04/2011
KLM AIRLINES;FOREIGN;9963;11612;1992;3192;23/05/2015
KOREAN AIR;FOREIGN;1677;2141;684;920;16/11/2016
KUWAIT AIRWAYS;FOREIGN;22599;27358;1328;13405;19/02/2017
LUFTHANSA;FOREIGN;44514;54291;40398;37890;19/06/2010
MAHAN AIR;FOREIGN;3373;2299;44;385;17/11/2011
MALAYSIA AIRLINES;FOREIGN;31028;32516;8325;7366;12/04/2010
MALINDO AIRWAYS;FOREIGN;20267;20156;519;1072;04/06/2013
MIHIN LANKA;FOREIGN;10972;12589;3322;597;03/03/2010
MYANMAR AIRLINES;FOREIGN;1382;1677;0;0;07/11/2012
NEPAL AIRLINES CORPORATION;FOREIGN;5749;6440;0;78;12/02/2011
OMAN AIR;FOREIGN;70018;66891;977;11965;28/07/2014
PAK INTERNATIONAL;FOREIGN;936;2167;54;214;19/06/2017
QATAR AIRWAYS;FOREIGN;81895;94028;45480;79650;17/05/2011
REGENT AIRWAYS;FOREIGN;6622;7007;0;1;10/10/2011
SAFI AIRWAYS;FOREIGN;2435;2630;355;1183;13/09/2013
SAUDIA;FOREIGN;60591;70945;1893;29324;27/09/2013
SCAT AIRLINES;FOREIGN;634;931;0;0;22/09/2014
SHANDONG AIRLINES;FOREIGN;981;1517;0;0;14/03/2014
SILK AIR;FOREIGN;15354;17560;1094;2260;09/07/2017
SINGAPORE AIRLINES;FOREIGN;48336;52243;39607;35822;11/06/2017
SRILNKAN AIRWAYS;FOREIGN;52801;55658;7592;36157;08/04/2012
SWISS AIR;FOREIGN;9377;13426;7704;9987;25/10/2014
TAJIK AIR;FOREIGN;160;205;0;46;27/04/2017
THAI AIR ASIA;FOREIGN;5931;5770;331;843;23/08/2013
THAI AIRWAYS;FOREIGN;52038;59851;22444;16727;08/08/2012
THOMAS COOK AIRLINES U.K.;FOREIGN;1900;4972;19;245;19/01/2011
TIGER AIRWAYS;FOREIGN;27554;54020;1230;2942;02/04/2010
TRANSAERO AIRLINES;FOREIGN;0;0;0;0;20/06/2010
TURKISH AIRLINES;FOREIGN;16647;20092;10270;12609;14/01/2014
TURKMENISTAN AIRLINES;FOREIGN;5109;4245;0;153;09/08/2016
UNITED AIRLINES;FOREIGN;13867;14523;2398;2860;17/02/2013
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;0;0;0;0;08/01/2011
UNITED PARCEL SERVICES;FOREIGN;0;0;4071;3886;17/07/2015
UZBEKISTAN AIRWAYS;FOREIGN;4496;4971;3361;8203;19/09/2012
VIRGIN ATLANTIC AIRLINES;FOREIGN;7499;7640;2066;4103;26/01/2016
YEMENIA AIRWAYS;FOREIGN;0;0;0;0;22/08/2014
AIR INDIA;DOMESTIC;197373;263608;37293;50567;16/04/2014
AIR INDIA EXPRESS;DOMESTIC;112653;133679;1111;5447;22/01/2017
INDIGO;DOMESTIC;65124;77172;322;10079;13/10/2013
JET AIRWAYS;DOMESTIC;286211;332474;38297;57709;14/07/2014
SPICEJET;DOMESTIC;66101;73478;1213;3932;24/08/2016
AEROFLOT;FOREIGN;5994;7963;55;876;11/11/2015
AEROLOGIC;FOREIGN;0;0;35;27;15/06/2015
AIR ARABIA;FOREIGN;71379;77643;1212;11496;10/05/2016
AIR ASIA X;FOREIGN;4865;5369;1601;2220;21/02/2011
AIR ASIA BERHAD;FOREIGN;30354;32659;547;2952;17/07/2015
AIR ASTANA;FOREIGN;1806;2597;8;324;05/10/2012
AIR AUSTRAL;FOREIGN;252;297;0;53;31/03/2014
AIR CANADA;FOREIGN;4400;4958;347;1010;08/01/2011
AIR CHINA;FOREIGN;2356;3181;940;1040;26/11/2015
AIR FRANCE;FOREIGN;11926;14030;6918;7704;17/09/2014
AIR MANAS;FOREIGN;607;1029;0;203;17/11/2013
AIR MAURITIUS;FOREIGN;6215;7919;164;1565;16/04/2016
AIR SEYCHELLES;FOREIGN;1522;2059;22;27;15/08/2012
ALL NIPPON AIRWAYS;FOREIGN;6666;7706;2656;3798;11/07/2014
ARIANA AFGHAN;FOREIGN;868;1204;349;1121;25/02/2010
ASIANA AIRLINES;FOREIGN;1928;2925;625;1001;16/07/2016
AUSTRIAN AIRLINES;FOREIGN;208;670;208;288;18/11/2012
BANGKOK AIRWAYS;FOREIGN;3597;3893;17;461;06/12/2017
BHUTAN AIRLINES;FOREIGN;2212;2351;0;0;06/06/2015
BIMAN BANGLADESH;FOREIGN;6072;6762;0;0;25/11/2014
BRITISH AIRWAYS;FOREIGN;27722;47513;15240;30240;21/03/2013
BUDDHA AIR;FOREIGN;93;115;0;0;12/01/2015
CARGOLUX AIRLINES INTERNATIONAL S.A.;FOREIGN;0;0;0;0;03/11/2010
CATHAY PACIFIC;FOREIGN;29086;35045;66504;46121;08/12/2016
CHINA AIRLINES LTD;FOREIGN;1201;4424;847;1014;31/03/2012
CHINA EASTERN AIRLINES;FOREIGN;8781;10212;1913;1343;06/11/2017
CHINA SOUTHERN ;FOREIGN;7391;8820;2323;692;08/12/2010
DRAGON AIR;FOREIGN;9393;10561;46;236;17/02/2017
DRUK AIR;FOREIGN;4620;4435;2;49;26/04/2015
EGYPT AIR;FOREIGN;821;1500;7;129;04/08/2013
EL-AL-ISRAEL;FOREIGN;2131;2216;513;1294;21/07/2010
EMIRATES AIRLINE;FOREIGN;205472;247659;52093;130353;14/11/2017
ETHIOPIAN AIRLINES;FOREIGN;12757;14771;1253;11702;16/05/2015
ETIHAD AIRLINES;FOREIGN;98024;120361;11705;21696;24/10/2012
EVA AIRWAYS;FOREIGN;0;0;0;0;24/03/2016
FEDERAL EXPRESS;FOREIGN;0;0;10636;21149;26/07/2017
FINN AIR;FOREIGN;1942;3366;1353;2057;08/05/2015
FLY DUBAI;FOREIGN;19528;21786;231;3018;26/03/2015
GULF AIR;FOREIGN;35639;39025;654;6831;13/07/2012
IRAN AIR;FOREIGN;1071;2294;7;288;23/11/2010
IRAQI AIRWAYS;FOREIGN;0;123;0;0;14/09/2015
ISLAND AVIATION SERVICES;FOREIGN;3972;4473;73;553;26/05/2017
JAPAN AIRLINES;FOREIGN;3724;4675;4944;2950;04/12/2015
KALITTA AIR;FOREIGN;0;0;11316;9985;26/07/2011
KAM AIR;FOREIGN;2532;3737;0;2510;01/05/2016
KENYA AIRWAYS;FOREIGN;4912;5080;130;70;25/05/2012
KLM AIRLINES;FOREIGN;6437;8534;3294;4565;19/07/2014
KOREAN AIR;FOREIGN;1494;2202;532;688;12/05/2017
KUWAIT AIRWAYS;FOREIGN;27471;34201;3068;14369;13/01/2012
LUFTHANSA;FOREIGN;36572;55079;36980;34972;27/03/2014
MAHAN AIR;FOREIGN;741;1975;82;377;20/09/2010
MALAYSIA AIRLINES;FOREIGN;31875;34022;6756;9440;05/02/2017
MALINDO AIRWAYS;FOREIGN;19083;22378;102;1054;08/05/2010
MIHIN LANKA;FOREIGN;10704;12109;439;545;29/06/2012
MYANMAR AIRLINES;FOREIGN;421;762;0;0;25/06/2015
NEPAL AIRLINES CORPORATION;FOREIGN;6530;6296;0;68;01/02/2011
OMAN AIR;FOREIGN;64956;77819;2327;12962;17/10/2012
PAK INTERNATIONAL;FOREIGN;985;2510;46;191;01/04/2012
QATAR AIRWAYS;FOREIGN;75955;94230;36567;80646;21/09/2015
REGENT AIRWAYS;FOREIGN;7206;8407;0;16;19/01/2017
SAFI AIRWAYS;FOREIGN;1639;1667;39;298;24/01/2016
SAUDIA;FOREIGN;60840;68413;1998;27254;18/05/2013
SCAT AIRLINES;FOREIGN;0;0;0;0;15/07/2016
SCOOT PTE LTD.;FOREIGN;0;0;0;0;06/12/2016
SHANDONG AIRLINES;FOREIGN;0;0;0;0;08/08/2012
SILK AIR;FOREIGN;17996;21890;954;2360;30/03/2012
SINGAPORE AIRLINES;FOREIGN;44703;52385;32860;31694;05/12/2017
SRILNKAN AIRWAYS;FOREIGN;44965;56792;7069;15540;25/05/2014
SWISS AIR;FOREIGN;7569;13578;7743;9833;09/03/2016
TAJIK AIR;FOREIGN;337;305;2;98;16/06/2014
THAI AIR ASIA;FOREIGN;5760;6025;363;578;26/04/2015
THAI AIRWAYS;FOREIGN;47845;55702;23032;12253;16/08/2015
THOMAS COOK AIRLINES U.K.;FOREIGN;0;0;0;0;04/07/2013
TIGER AIRWAYS;FOREIGN;28935;29029;1088;3105;21/02/2017
TRANSAERO AIRLINES;FOREIGN;0;0;0;0;19/06/2017
TURKISH AIRLINES;FOREIGN;13067;18350;8050;11583;03/06/2010
TURKMENISTAN AIRLINES;FOREIGN;2629;5343;0;99;27/03/2012
UNITED AIRLINES;FOREIGN;12119;14661;2040;3268;25/11/2012
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;0;0;0;0;12/04/2016
UNITED PARCEL SERVICES;FOREIGN;0;0;3293;3779;27/05/2011
UZBEKISTAN AIRWAYS;FOREIGN;3834;4990;2700;8245;09/03/2014
VIRGIN ATLANTIC AIRLINES;FOREIGN;5009;7532;2066;4103;17/05/2017
YEMENIA AIRWAYS;FOREIGN;162;180;0;22;31/12/2010
AIR INDIA;DOMESTIC;223122;261369;36211;55813;22/01/2017
AIR INDIA EXPRESS;DOMESTIC;126272;134614;1480;4289;10/03/2016
INDIGO;DOMESTIC;68092;78353;305;10285;11/06/2015
JET AIRWAYS;DOMESTIC;309890;334897;37218;61122;20/09/2011
SPICEJET;DOMESTIC;67278;75118;1076;4673;22/12/2014
AEROFLOT;FOREIGN;5397;8120;114;777;24/02/2010
AEROLOGIC;FOREIGN;0;0;40;38;12/03/2011
AIR ARABIA;FOREIGN;75623;80301;1306;11313;04/10/2017
AIR ASIA X;FOREIGN;4995;5584;1469;2408;26/06/2012
AIR ASIA BERHAD;FOREIGN;36190;32654;627;3356;24/12/2016
AIR ASTANA;FOREIGN;2139;2609;11;324;22/02/2017
AIR AUSTRAL;FOREIGN;200;251;38;5;15/09/2012
AIR CANADA;FOREIGN;4070;5479;345;836;14/03/2014
AIR CHINA;FOREIGN;2544;3512;888;2002;14/06/2015
AIR FRANCE;FOREIGN;11311;14078;8078;7995;01/08/2015
AIR MANAS;FOREIGN;680;948;1;326;19/05/2016
AIR MAURITIUS;FOREIGN;8673;9970;207;1939;23/05/2012
AIR SEYCHELLES;FOREIGN;2432;2534;2;20;22/11/2012
ALL NIPPON AIRWAYS;FOREIGN;5903;8484;3049;3889;14/11/2015
ARIANA AFGHAN;FOREIGN;746;1153;157;636;31/03/2014
ASIANA AIRLINES;FOREIGN;1584;2554;838;687;05/07/2016
AUSTRIAN AIRLINES;FOREIGN;0;0;0;0;26/11/2017
BANGKOK AIRWAYS;FOREIGN;4550;4755;16;354;08/08/2014
BHUTAN AIRLINES;FOREIGN;3547;3995;0;0;30/01/2010
BIMAN BANGLADESH;FOREIGN;6438;8037;0;529;27/03/2010
BRITISH AIRWAYS;FOREIGN;33859;47470;17600;31430;08/01/2012
BUDDHA AIR;FOREIGN;0;0;0;0;16/03/2012
CARGOLUX AIRLINES INTERNATIONAL S.A.;FOREIGN;0;0;0;0;08/11/2017
CATHAY PACIFIC;FOREIGN;35282;37393;60263;42187;21/07/2016
CHINA AIRLINES LTD;FOREIGN;911;4189;577;914;15/11/2015
CHINA EASTERN AIRLINES;FOREIGN;8063;10375;2577;1070;31/01/2016
CHINA SOUTHERN ;FOREIGN;6500;9284;1917;1351;13/03/2015
DRAGON AIR;FOREIGN;10444;11755;56;90;25/07/2011
DRUK AIR;FOREIGN;5036;5084;3;85;01/03/2010
EGYPT AIR;FOREIGN;1588;1828;5;61;03/06/2016
EL-AL-ISRAEL;FOREIGN;1913;2579;459;1236;23/08/2013
EMIRATES AIRLINE;FOREIGN;232446;243129;52939;135920;11/09/2012
ETHIOPIAN AIRLINES;FOREIGN;13067;17186;1478;12707;28/01/2017
ETIHAD AIRLINES;FOREIGN;119470;137737;7799;26006;18/12/2015
EVA AIRWAYS;FOREIGN;0;0;0;0;07/05/2016
FEDERAL EXPRESS;FOREIGN;0;0;9274;22115;07/04/2015
FINN AIR;FOREIGN;1834;2976;1235;1997;28/01/2012
FLY DUBAI;FOREIGN;20191;21096;246;2290;28/04/2016
GULF AIR;FOREIGN;38161;38164;739;6929;23/10/2016
IRAN AIR;FOREIGN;2360;1866;28;135;20/03/2016
IRAQI AIRWAYS;FOREIGN;0;46;0;0;08/11/2013
ISLAND AVIATION SERVICES;FOREIGN;4163;4313;83;511;30/01/2013
JAPAN AIRLINES;FOREIGN;3152;4894;3805;2470;17/11/2016
KALITTA AIR;FOREIGN;0;0;12561;9756;05/10/2016
KAM AIR;FOREIGN;3492;3776;0;1943;18/07/2013
KENYA AIRWAYS;FOREIGN;6071;7437;165;12;26/01/2015
KLM AIRLINES;FOREIGN;6857;8783;3479;5113;23/02/2011
KOREAN AIR;FOREIGN;1787;2372;629;614;04/01/2015
KUWAIT AIRWAYS;FOREIGN;30308;32321;4032;15063;13/01/2013
LUFTHANSA;FOREIGN;43658;55443;35753;36383;22/10/2013
MAHAN AIR;FOREIGN;1580;1564;55;630;30/06/2013
MALAYSIA AIRLINES;FOREIGN;35319;35843;7387;10045;23/11/2011
MALINDO AIRWAYS;FOREIGN;27712;26064;169;1115;21/07/2014
MIHIN LANKA;FOREIGN;11958;12523;483;603;08/04/2014
MYANMAR AIRLINES;FOREIGN;0;0;0;0;13/02/2018
NEPAL AIRLINES CORPORATION;FOREIGN;5682;6392;49;0;10/07/2013
OMAN AIR;FOREIGN;71554;74369;1147;12067;02/06/2016
PAK INTERNATIONAL;FOREIGN;998;2775;31;217;05/08/2012
QATAR AIRWAYS;FOREIGN;87868;95365;41600;82496;18/05/2015
REGENT AIRWAYS;FOREIGN;7623;9216;0;25;13/01/2013
SAFI AIRWAYS;FOREIGN;1756;2001;7;284;09/09/2013
SAUDIA;FOREIGN;72471;69673;6779;24183;07/06/2013
SCAT AIRLINES;FOREIGN;0;0;0;0;15/11/2011
SCOOT PTE LTD.;FOREIGN;3218;2252;769;715;13/06/2012
SHANDONG AIRLINES;FOREIGN;298;557;0;0;26/09/2011
SILK AIR;FOREIGN;23169;23929;991;2706;01/11/2011
SINGAPORE AIRLINES;FOREIGN;54355;59140;35169;32866;02/06/2014
SRILNKAN AIRWAYS;FOREIGN;61935;60008;6778;17088;31/07/2014
SWISS AIR;FOREIGN;9194;13729;7672;9708;18/04/2011
TAJIK AIR;FOREIGN;367;275;0;114;07/12/2015
THAI AIR ASIA;FOREIGN;8645;8874;515;684;08/07/2013
THAI AIRWAYS;FOREIGN;47462;60898;20067;13619;26/06/2014
THOMAS COOK AIRLINES U.K.;FOREIGN;0;0;0;0;16/11/2016
TIGER AIRWAYS;FOREIGN;31002;30479;889;2636;17/09/2016
TRANSAERO AIRLINES;FOREIGN;0;0;0;0;02/08/2010
TURKISH AIRLINES;FOREIGN;16374;21523;9199;12616;15/01/2010
TURKMENISTAN AIRLINES;FOREIGN;2144;3413;0;161;11/05/2017
UNITED AIRLINES;FOREIGN;13722;14472;1719;2995;30/05/2012
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;0;0;0;0;14/02/2017
UNITED PARCEL SERVICES;FOREIGN;0;0;4185;4091;27/09/2015
UZBEKISTAN AIRWAYS;FOREIGN;4098;4831;3116;6629;08/01/2013
VIRGIN ATLANTIC AIRLINES;FOREIGN;3659;6696;1950;4798;21/02/2015
YEMENIA AIRWAYS;FOREIGN;160;211;0;29;03/03/2015
AIR INDIA;DOMESTIC;254839;198928;34605;58209;07/10/2017
AIR INDIA EXPRESS;DOMESTIC;134795;105928;1515;6430;04/08/2012
INDIGO;DOMESTIC;74450;61678;1114;9107;23/06/2015
JET AIRWAYS;DOMESTIC;336413;271347;39280;64436;10/07/2017
SPICEJET;DOMESTIC;69443;60019;586;4136;11/10/2015
AEROFLOT;FOREIGN;7444;6985;112;898;15/12/2012
AEROLOGIC;FOREIGN;0;0;34;34;28/02/2010
AIR ARABIA;FOREIGN;75529;64936;698;11408;30/10/2017
AIR ASIA X;FOREIGN;5132;5165;1409;2404;17/06/2014
AIR ASIA BERHAD;FOREIGN;33699;26871;536;3105;05/01/2010
AIR ASTANA;FOREIGN;3842;1878;3;499;04/12/2013
AIR AUSTRAL;FOREIGN;158;171;12;7;05/10/2017
AIR CANADA;FOREIGN;4326;4970;347;1010;23/03/2011
AIR CHINA;FOREIGN;2895;2909;686;979;26/08/2014
AIR FRANCE;FOREIGN;12215;12751;6309;7476;02/05/2013
AIR MANAS;FOREIGN;1309;853;0;366;02/12/2013
AIR MAURITIUS;FOREIGN;9870;9625;185;2131;14/03/2012
AIR SEYCHELLES;FOREIGN;2592;2314;2;56;16/11/2011
ALL NIPPON AIRWAYS;FOREIGN;6469;6984;3515;3743;07/02/2017
ARIANA AFGHAN;FOREIGN;487;939;80;516;03/07/2015
ASIANA AIRLINES;FOREIGN;2396;2250;877;919;24/04/2013
AUSTRIAN AIRLINES;FOREIGN;0;0;0;0;04/09/2011
BANGKOK AIRWAYS;FOREIGN;3566;3124;2;360;16/10/2012
BHUTAN AIRLINES;FOREIGN;2468;2178;0;0;23/12/2014
BIMAN BANGLADESH;FOREIGN;5691;5810;0;255;24/06/2015
BRITISH AIRWAYS;FOREIGN;45155;42517;19;30;31/05/2012
BUDDHA AIR;FOREIGN;0;0;0;0;15/10/2015
CARGOLUX AIRLINES INTERNATIONAL S.A.;FOREIGN;0;0;6236;12294;23/10/2014
CATHAY PACIFIC;FOREIGN;34809;30993;65994;42960;29/03/2015
CHINA AIRLINES LTD;FOREIGN;1267;4300;829;770;06/09/2013
CHINA EASTERN AIRLINES;FOREIGN;8963;8532;2484;1035;15/03/2012
CHINA SOUTHERN ;FOREIGN;7616;8035;2398;1010;11/11/2013
DRAGON AIR;FOREIGN;10278;8095;56;211;03/06/2011
DRUK AIR;FOREIGN;4437;4243;3;72;07/02/2015
EGYPT AIR;FOREIGN;1133;1064;13;62;14/02/2013
EL-AL-ISRAEL;FOREIGN;1859;2158;582;1097;30/01/2016
EMIRATES AIRLINE;FOREIGN;250215;180494;58215;146430;04/12/2014
ETHIOPIAN AIRLINES;FOREIGN;15480;14588;1265;11601;10/11/2013
ETIHAD AIRLINES;FOREIGN;125017;96648;2831;29904;16/05/2013
EVA AIRWAYS;FOREIGN;0;0;0;0;03/01/2017
FEDERAL EXPRESS;FOREIGN;0;0;10138;22923;01/03/2015
FINN AIR;FOREIGN;3049;2971;1410;1984;09/03/2016
FLY DUBAI;FOREIGN;21266;18497;186;2539;19/03/2011
GULF AIR;FOREIGN;39100;28286;748;6282;25/08/2010
IRAN AIR;FOREIGN;800;283;15;384;25/03/2015
IRAQI AIRWAYS;FOREIGN;0;49;0;0;22/02/2012
ISLAND AVIATION SERVICES;FOREIGN;2745;3226;35;535;19/04/2016
JAPAN AIRLINES;FOREIGN;3400;3723;3843;1819;11/12/2017
KALITTA AIR;FOREIGN;0;0;12708;10355;12/01/2011
KAM AIR;FOREIGN;3665;3948;0;2128;13/05/2017
KENYA AIRWAYS;FOREIGN;0;0;0;0;14/11/2010
KLM AIRLINES;FOREIGN;8559;8772;3191;4864;18/12/2012
KOREAN AIR;FOREIGN;2097;2001;532;594;28/02/2010
KUWAIT AIRWAYS;FOREIGN;31182;25353;3834;15573;14/06/2015
LUFTHANSA;FOREIGN;55657;51877;31713;39109;21/09/2010
MAHAN AIR;FOREIGN;1531;636;93;437;26/09/2010
MALAYSIA AIRLINES;FOREIGN;35653;30715;7833;7424;20/08/2011
MALINDO AIRWAYS;FOREIGN;25588;24574;161;1102;23/01/2013
MIHIN LANKA;FOREIGN;11685;10813;187;804;15/05/2010
MYANMAR AIRLINES;FOREIGN;0;0;0;0;14/10/2014
NEPAL AIRLINES CORPORATION;FOREIGN;6277;5256;0;17;11/08/2014
OMAN AIR;FOREIGN;75820;57201;1154;11412;15/08/2015
PAK INTERNATIONAL;FOREIGN;903;814;27;182;05/07/2014
QATAR AIRWAYS;FOREIGN;94937;79399;41069;86669;10/06/2010
REGENT AIRWAYS;FOREIGN;6753;8199;0;0;09/11/2012
SAFI AIRWAYS;FOREIGN;1721;2188;306;672;08/08/2011
SAUDIA;FOREIGN;72337;62959;1937;26984;09/01/2013
SCAT AIRLINES;FOREIGN;0;0;0;0;16/05/2013
SCOOT PTE LTD.;FOREIGN;12526;12375;2268;3532;25/01/2017
SHANDONG AIRLINES;FOREIGN;811;849;0;0;16/11/2016
SILK AIR;FOREIGN;20601;17617;883;2862;12/07/2016
SINGAPORE AIRLINES;FOREIGN;48614;44258;33873;33936;11/08/2014
SRILNKAN AIRWAYS;FOREIGN;62837;48453;7751;19080;06/10/2016
SWISS AIR;FOREIGN;13302;13454;7478;9581;24/02/2015
TAJIK AIR;FOREIGN;445;210;0;95;13/10/2011
