AIRLINE NAME;CARRIER TYPE;PASSENGERS TO INDIA;PASSENGERS FROM INDIA;FREIGHT TO INDIA;FREIGHT FROM INDIA;DAY
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;546;675;0;0;04/09/2016
UNITED PARCEL SERVICES;FOREIGN;0;0;493259;494933;15/03/2015
UZBEKISTAN AIRWAYS;FOREIGN;3896;4328;199108;711016;03/05/2017
VIRGIN ATLANTIC AIRLINES;FOREIGN;4264;7260;284363;334767;27/02/2010
YEMENIA AIRWAYS;FOREIGN;2168;2228;1011;53134;18/05/2011
AIR INDIA;DOMESTIC;200432;248784;3577539;5233469;08/06/2015
AIR INDIA EXPRESS;DOMESTIC;94082;122028;0;0;01/04/2016
INDIGO;DOMESTIC;63266;74678;145618;85976536;28/06/2013
JET AIRWAYS;DOMESTIC;271441;306572;395871855;55990668;05/11/2013
SPICEJET;DOMESTIC;42360;49736;0;2078176;13/04/2017
AEROFLOT;FOREIGN;4316;6502;16584;406856;09/04/2011
AEROLOGIC;FOREIGN;0;0;1415;1186;29/08/2014
AIR ARABIA;FOREIGN;68884;77477;17741;1177041;12/10/2011
AIR ASIA BERHAD;FOREIGN;20673;22688;19521;439351;16/09/2016
AIR AUSTRAL;FOREIGN;0;0;1364;2727;30/03/2014
AIR CHINA;FOREIGN;2161;3878;169509;168782;04/05/2013
AIR FRANCE;FOREIGN;11930;15412;589198;1095936;23/03/2012
AIR MANAS;FOREIGN;228;231;0;271589;04/06/2010
AIR MAURITIUS;FOREIGN;6146;8007;22658;309818;16/08/2016
AIR ASTANA;FOREIGN;1326;1814;1373;29321;28/04/2014
AIR SEYCHELLES;FOREIGN;954;1153;46;1299;17/09/2015
ALL NIPPON AIRWAYS;FOREIGN;4410;5569;271122;428241;24/06/2012
ARIANA AFGHAN;FOREIGN;1423;2034;59;15665;09/10/2016
ASIANA AIRLINES;FOREIGN;1912;2979;20492;85008;20/10/2017
AUSTRIAN AIRLINES;FOREIGN;2429;5538;169322;247621;07/04/2017
BANGKOK AIRWAYS;FOREIGN;3409;3638;676;58315;27/11/2013
BHUTAN AIRLINES;FOREIGN;2047;1908;0;0;10/12/2010
BIMAN BANGLADESH;FOREIGN;2969;3498;572;3374;15/07/2014
BRITISH AIRWAYS;FOREIGN;28096;47044;1688;3142;03/08/2011
BUDHHA AIR;FOREIGN;113;109;0;0;28/12/2017
CATHAY PACIFIC;FOREIGN;28804;30975;6460369;327506;16/03/2018
CHINA AIRLINES LTD;FOREIGN;659;4301;58915;99772;31/01/2014
CHINA EASTERN AIRLINES;FOREIGN;7317;7707;241178;2498;15/03/2010
CHINA SOUTHERN ;FOREIGN;5768;6061;45704;21215;03/09/2013
DRAGON AIR;FOREIGN;6931;7750;265233;291176;18/09/2017
DRUK AIR;FOREIGN;3629;3227;414;5168;01/02/2018
EGYPT AIR;FOREIGN;752;1217;21254;17064;09/02/2013
EL-AL-ISRAEL;FOREIGN;1926;2065;47445;99364;22/04/2013
EMIRATES AIRLINE;FOREIGN;204791;255276;5878738;1307596;03/05/2017
ETHIOPIAN AIRLINES;FOREIGN;3250;3600;23517;190624;26/10/2016
ETIHAD AIRLINES;FOREIGN;65278;63586;655283;1720296;07/04/2010
EVA AIRWAYS;FOREIGN;0;0;0;0;26/05/2010
FEDERAL EXPRESS;FOREIGN;0;0;1319632;2195013;11/04/2013
FINN AIR;FOREIGN;2093;3677;154993;239117;13/08/2012
FLY DUBAI;FOREIGN;17101;20802;29075;221069;17/11/2011
GULF AIR;FOREIGN;31257;36530;207525;664069;01/01/2011
IRAN AIR;FOREIGN;792;1744;352;46227;30/05/2010
IRAQI AIRWAYS;FOREIGN;0;302;0;0;20/12/2011
ISLAND AVIATION SERVICES;FOREIGN;3019;3013;5926;76931;04/03/2010
JAPAN AIRLINES;FOREIGN;3267;3983;399007;303686;07/10/2017
KALITTA AIR;FOREIGN;0;0;824069;674694;30/03/2010
KAM AIR;FOREIGN;3000;3000;0;28285;03/10/2016
KENYA AIRWAYS;FOREIGN;6035;7144;7482;283195;16/06/2014
